STATE,GR
 Lakshadweep ,1187
Andaman & Nicobar Islands,963.3333333
Andhra Pradesh,1051.307692
Arunachal Pradesh,990.3
Assam,1007.545455
Bihar,1089.184211
Chandigarh,917
Chhattisgarh,1024.962963
Dadra and Nagar Haveli & Daman and Diu,968
Goa,1028.5
Gujarat,981.0606061
Haryana,928.8636364
Himachal Pradesh,1038.75
Jammu & Kashmir,949.4
Jharkhand,1054.583333
Karnataka,1041.433333
Kerala,1116.285714
Ladakh,971
Madhya Pradesh,970.745098
Maharastra,979.1944444
Manipur,1062.666667
Meghalaya,1032.545455
Mizoram,1012.75
NCT of Delhi,909.0909091
Nagaland,1019.727273
Odisha,1059.4
Puducherry,1122.75
Punjab,940.2727273
Rajasthan,1013.242424
Sikkim,984.25
Tamil Nadu,1107.875
Telangana,1061.16129
Tripura,1029.375
Uttar Pradesh,1018.133333
Uttarakhand,1095.923077
West Bengal,1049.5
